Employee_ID,Department,Region,Gender,Experience_Years,Sales,Performance_Score
1,IT,North,Female,7,36904.25,76.25
2,Sales,West,Female,6,51766.1,77.98
3,IT,South,Male,6,57094.02,87.51
4,IT,West,Male,6,50011.02,82.59
5,Sales,West,Female,3,30524.1,85.53
6,Sales,North,Male,6,42652.48,65.33
7,IT,West,Female,8,55134.92,87.72
8,Marketing,North,Female,2,32500.15,62.83
9,IT,West,Male,5,44384.83,91.9
10,IT,South,Male,1,39335.12,49.92
11,IT,West,Female,1,28274.95,49.6
12,IT,North,Female,5,41113.09,64.01
13,Sales,North,Male,3,19331.76,42.76
14,IT,South,Female,4,33041.48,61.74
15,Marketing,West,Male,3,37258.31,56.41
16,Sales,West,Female,1,28689.41,59.5
17,Marketing,South,Male,1,45910.67,61.42
18,Marketing,West,Male,5,33204.08,88.76
19,Marketing,West,Male,6,41439.71,82.5
20,Marketing,North,Female,3,39749.81,58.23
21,Sales,West,Female,9,60568.28,73.02
22,Sales,West,Male,5,34666.9,74.92
23,Marketing,South,Female,8,55460.56,65.8
24,Marketing,South,Male,1,35366.51,76.31
25,Sales,North,Male,5,37620.19,81.79
26,Sales,West,Female,3,43403.67,59.31
27,Sales,West,Female,1,38093.89,40.87
28,IT,West,Male,4,35798.59,80.54
29,IT,North,Female,5,41953.71,68.85
30,IT,North,Female,7,42595.46,88.38
31,Marketing,South,Male,1,36037.86,42.06
32,IT,North,Male,3,42203.85,58.01
33,Marketing,West,Female,2,47409.11,61.05
34,Marketing,West,Male,9,41654.2,82.47
35,IT,North,Male,10,64364.72,80.5
36,Marketing,West,Female,6,31611.43,79.23
37,IT,West,Male,10,49513.4,74.32
38,IT,North,Male,3,41724.06,62.58
39,Sales,North,Female,8,51226.45,80.2
40,IT,West,Female,8,42852.45,84.14
41,Sales,West,Male,2,37247.21,68.12
42,IT,West,Male,6,40095.49,61.75
43,IT,South,Female,7,41269.13,60.66
44,Sales,South,Female,2,44122.41,73.78
45,Sales,South,Female,10,55320.6,88.32
46,IT,North,Female,2,31596.09,53.52
47,Marketing,South,Male,10,57347.4,100.0
48,Sales,North,Female,1,38797.45,59.16
49,Marketing,North,Female,8,53183.6,90.79
50,Marketing,South,Male,1,39392.59,58.68
51,Marketing,South,Female,9,44311.53,100.0
52,Sales,South,Male,6,42158.82,90.55
53,Marketing,West,Female,7,50957.41,73.51
54,Sales,South,Female,10,56967.41,94.72
55,Marketing,West,Female,7,45964.14,82.45
56,IT,North,Male,10,51262.63,98.69
57,IT,West,Male,3,46204.82,54.35
58,Sales,South,Female,2,34754.79,67.86
59,IT,North,Male,9,52256.13,92.58
60,IT,North,Male,8,45585.75,61.41
61,Marketing,North,Male,10,50085.07,73.17
62,Sales,West,Male,7,54742.05,55.61
63,Marketing,South,Male,9,55065.21,79.31
64,Marketing,North,Male,4,45987.81,74.18
65,Marketing,North,Female,4,49185.61,82.02
66,Marketing,North,Female,1,35436.52,58.74
67,Marketing,West,Male,8,52332.69,95.29
68,Marketing,West,Female,3,36883.27,50.2
69,Marketing,South,Female,7,48207.08,58.97
70,Sales,West,Female,2,37754.07,60.44
71,IT,North,Female,2,36730.47,64.84
72,Marketing,South,Male,7,49968.52,75.67
73,Marketing,North,Female,6,38981.57,52.33
74,Marketing,North,Female,3,52500.52,63.11
75,Marketing,West,Male,9,43160.89,68.96
76,Marketing,South,Male,10,43607.77,91.7
77,Marketing,West,Female,6,51827.72,76.67
78,IT,West,Female,10,55645.81,75.6
79,IT,South,Female,10,54556.78,79.86
80,Marketing,North,Female,6,48384.25,62.41
81,IT,North,Female,1,34220.4,57.37
82,Sales,South,Female,4,36367.85,76.55
83,Marketing,North,Male,10,51992.73,75.14
84,Sales,South,Female,6,41398.45,78.04
85,Sales,South,Female,6,52138.28,67.7
86,Marketing,West,Male,5,41544.13,62.07
87,IT,South,Male,1,28934.27,56.93
88,Sales,West,Male,8,47310.99,68.65
89,Marketing,North,Male,5,45184.05,64.46
90,Sales,North,Female,5,40335.79,58.02
91,Sales,North,Female,7,42255.57,95.65
92,Sales,North,Female,4,43783.97,67.35
93,Sales,West,Female,6,47392.28,66.0
94,IT,North,Female,4,36404.87,69.14
95,Sales,South,Female,3,37338.25,62.88
96,Sales,South,Male,7,49108.32,73.79
97,Sales,South,Female,8,39987.45,85.14
98,IT,West,Male,4,30551.49,74.58
99,Sales,North,Male,2,33930.11,55.69
100,Sales,North,Female,10,51612.59,79.24
101,IT,North,Male,3,39920.9,61.25
102,IT,West,Female,1,43889.82,40.0
103,IT,South,Male,8,52474.79,63.85
104,Sales,South,Female,3,39360.4,77.67
105,IT,North,Male,10,50376.39,100.0
106,IT,South,Female,7,38583.56,73.51
107,Sales,South,Female,10,52879.66,90.77
108,IT,West,Female,5,39623.72,73.11
109,Sales,West,Female,10,55097.67,100.0
110,Marketing,West,Female,5,37123.0,81.2
111,IT,West,Male,7,48475.75,74.72
112,Marketing,North,Male,9,59662.8,72.44
113,Sales,West,Male,5,43293.06,53.94
114,IT,South,Female,1,36911.13,60.03
115,Sales,North,Male,10,57485.94,77.44
116,Marketing,South,Female,10,48892.07,70.78
117,Sales,South,Female,1,38256.6,51.53
118,IT,South,Male,2,36181.85,50.18
119,IT,West,Male,6,43934.89,89.87
120,Marketing,West,Female,9,44675.44,90.82
